"Rank","Title","Band","Country","Year","Compilation","Live","YearRank","DecadeRank","OverallRank","RankScore","AvgRating","NumRatings","AlbumID","Notes","Buy"
"829","Mahler: Symphony No. 3","Eliahu Inbal / Frankfurt Radio Symphony Orchestra","de","1986","No","No","829","8278","71417","5","73.285339355","1","140757","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=140757&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"829","Interesting Times","High Tide","uk","1986","No","No","829","8278","71417","5","72.010673523","3","94423","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=94423&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"831","QR III","Quiet Riot","us","1986","No","No","831","8299","71614","5","69.446182251","6","118347","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=118347&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"832","Cocker","Joe Cocker","uk","1986","No","No","832","8302","71681","5","71.537574768","7","123892","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=123892&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"833","I Am John's Pancreas","A Witness","uk","1986","No","No","833","8314","71730","5","73.075920105","5","25849","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=25849&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"834","Round Midnight","Linda Ronstadt","us","1986","Yes","No","834","8323","71812","5","76.409248352","5","36700","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=36700&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"834","Ο Μάνος Χατζιδάκις στη Ρωμαϊκή Αγορά","Μάνος Χατζιδάκις [Manos Hadjidakis]","gr","1986","No","No","834","8323","71812","5","74.19443512","1","136842","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=136842&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"836","Radio Musicola","Nik Kershaw","uk","1986","No","No","836","8345","72070","5","73.739891052","1","120700","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=120700&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"837","The 107 Tapes","The Milkshakes","uk","1986","Yes","No","837","8351","72124","5","74.318367004","3","78211","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=78211&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"838","Henk","The Nits","nl","1986","No","No","838","8370","72298","5","72.594894409","2","95073","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=95073&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"838","No Easy Walk To Freedom","Peter, Paul And Mary","us","1986","No","No","838","8370","72298","5","73.739891052","1","203893","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=203893&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"838","Kontrast","Kontrast","de","1986","No","No","838","8370","72298","5","74.648979187","1","179333","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=179333&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"841","Mandolin Ecstasy","U. Srinivas","in","1986","No","No","841","8388","72473","5","71.921707153","1","107863","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=107863&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"842","Hartmann: Streichquartette No 1 «Carillon» / 1934 No 2 / 1945-46","Auryn Quartett","de","1986","No","No","842","8410","72711","4","73.739891052","1","141239","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=141239&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"842","Vigilante","Vardis","uk","1986","No","No","842","8410","72711","4","72.010673523","3","119246","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=119246&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"842","Tenku","Kitarō","jp","1986","No","No","842","8410","72711","4","73.428230286","2","153536","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=153536&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"845","Fuse","Cranes","uk","1986","No","No","845","8435","73065","4","70.511566162","2","220978","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=220978&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"846","Real Love","Ashford & Simpson","us","1986","No","No","846","8450","73227","4","69.678230286","2","153816","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=153816&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"846","For Sentimental Reasons","Linda Ronstadt","us","1986","No","No","846","8450","73227","4","70.075920105","5","79046","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=79046&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"846","A Nairobi","Le Grand Maitre Franco Et Ses Stars Du T.P. O.K. Jazz","cd","1986","No","Yes","846","8450","73227","4","-1","0","225757","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=225757&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"849","Expletive Delighted!","Fairport Convention","uk","1986","No","No","849","8473","73448","4","69.009910583","4","59427","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=59427&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"850","Big & Beautiful","Fat Boys","us","1986","No","No","850","8476","73461","4","69.009910583","4","103593","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=103593&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"851","In The Middle Of Nowhere","Modern Talking","de","1986","No","No","851","8479","73500","4","57.419933319","7","57464","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=57464&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"852","Historier Från En Väg","Kajsa Grytt & Malena Jönsson","se","1986","No","No","852","8493","73625","4","73.739891052","1","138712","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=138712&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"853","Saint Of The Pit","Diamanda Galás","us","1986","No","No","853","8495","73650","4","70.383682251","6","61779","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=61779&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"854","Some People","Kristi Rose And The Midnight Walkers","us","1986","No","No","854","8500","73683","4","-1","0","205909","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=205909&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
